DIV,Price,Qty,Amount,Fee
Buy,25285,39,-986115,148.0
Sell,25240,39,984360,148.0
Buy,25265,39,-985335,148.0
Sell,25220,39,983580,148.0
Buy,25265,39,-985335,148.0
Sell,25375,39,989625,148.0
Buy,25415,39,-991185,149.0
Sell,25495,39,994305,149.0
Buy,25405,39,-990795,149.0
Sell,25740,39,1003860,151.0
Buy,25770,38,-979260,147.0
Sell,25835,38,981730,147.0
Buy,25675,38,-975650,146.0
Sell,25655,38,974890,146.0
Buy,25530,39,-995670,149.0
Sell,25480,39,993720,149.0
Buy,25415,39,-991185,149.0
Sell,25480,39,993720,149.0
Buy,25450,39,-992550,149.0
Sell,25490,39,994110,149.0
Buy,25535,39,-995865,149.0
Sell,25580,39,997620,150.0
Buy,25460,39,-992940,149.0
Sell,25555,39,996645,149.0
RESULT,22717,0,26280,3563.0
