코드,종목,최근 외국인 지분율,최근 종가,최근10일 종가 중간값,최근5일 종가 평균,최근10일 종가 평균,마지막 거래량,최근10일 거래량 중간값,자기자본이익률(ROE),ROE 평균,주가수익비율,주가순자산비율,영업이익,외국인지분율,종가,거래량,매수잔량
A011780,금호석유,20.41,162500,151500,160100,156100,90197,117286,"[11.84, 20.18, 47.76]",26.59,"[8.81, 8.33, 2.83]","[0.82, 1.28, 0.92]","[3654, 7422, 24068]","[20.34, 20.37, 20.41]","[159500, 161500, 162500]","[122474, 89232, 90197]","[-17941, -28283, -32317]"
A166090,하나머티리얼즈,25.75,51200,50650,51540,50515,42411,87140,"[20.86, 22.82, 29.96]",24.55,"[13.45, 14.75, 18.54]","[2.53, 2.95, 4.77]","[409, 531, 823]","[25.64, 25.72, 25.75]","[51700, 51400, 51200]","[49120, 36434, 42411]","[2395, -2175, 6761]"
A002960,한국쉘석유,63.14,255000,251250,251300,251400,1775,1006,"[21.3, 21.44, 27.97]",23.57,"[19.97, 15.99, 11.52]","[4.29, 3.43, 3.06]","[257, 310, 380]","[63.13, 63.14]","[252000, 255000]","[497, 1775]","[1501, -117]"
A042700,한미반도체,5.76,33050,32450,32860,32430,143615,195082,"[8.85, 21.03, 34.59]",21.49,"[24.06, 18.76, 18.06]","[1.85, 3.46, 5.4]","[137, 666, 1224]","[5.73, 5.76, 5.76]","[33000, 33050, 33050]","[272678, 136742, 143615]","[7625, 11441, 725]"
A093520,매커스,14.45,11350,8135,9252,8656,5515426,139518,"[9.11, 14.57, 36.66]",20.11,"[12.7, 10.17, 5.2]","[0.92, 1.07, 1.21]","[59, 95, 260]","[13.85, 14.45]","[9040, 11350]","[490888, 5515426]","[-4737, -137585]"
A195870,해성디에스,6.64,50300,48450,49850,48475,78790,174772,"[9.06, 13.62, 27.09]",16.59,"[14.65, 13.83, 11.65]","[1.29, 1.79, 2.82]","[270, 435, 863]","[6.51, 6.62, 6.64]","[49800, 50200, 50300]","[114387, 89712, 78790]","[-10908, -18449, -2538]"
A214180,민앤지,12.79,18250,17500,17890,17665,38363,22381,"[14.79, 15.71, 15.9, 17.42]",15.96,"[16.33, 11.25, 11.62, 9.83]","[2.3, 1.57, 1.67, 1.59]","[260, 270, 282, 419]","[12.77, 12.77, 12.79]","[17450, 18000, 18250]","[48941, 39513, 38363]","[10727, -4333, -8039]"
A131290,티에스이,8.83,59500,58150,59020,58030,19537,44879,"[10.33, 15.12, 20.55]",15.33,"[9.44, 25.52, 18.23]","[0.86, 3.41, 3.27]","[207, 427, 546]","[8.75, 8.79, 8.83]","[58500, 59000, 59500]","[16291, 13925, 19537]","[649, 452, 2060]"
A011070,LG이노텍,25.55,398500,352000,393400,371400,459453,448834,"[4.73, 10.2, 30.94]",15.29,"[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[24.57, 25.32, 25.55]","[405000, 411500, 398500]","[674862, 356758, 459453]","[1327, -345, 4905]"
A095610,테스,10.26,27150,24650,26510,25530,103565,90751,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[9.92, 10.02, 10.26]","[26150, 27050, 27150]","[94254, 219278, 103565]","[-8687, -10859, -7733]"
